id,concept,question,A,B,C,answer,source,quote
Q01,K01,規格由v1改v2，來源ID要如何處理？,保留同一ID並記版本,完全不記ID,把版本當兩份活動,A,chapter-1.md,來源 ID 是用來追蹤同一份資料的固定代號，版本不同仍保留同一 ID。
Q02,K02,今天下載去年文章，哪個說法正確？,文章今天發布,擷取與發布日期分開,兩個日期取平均,B,chapter-1.md,擷取時間是保存資料的時間，發布時間是原作者公布內容的時間，兩者不能互換。
Q03,K03,新信寫『可能改期，未決定』應怎麼處理？,直接採新日期,刪除舊信,保留原訂與提案待確認,C,chapter-1.md,明確寫出取代舊值的修訂，才可採新值；較晚出現的提案不必然是定案。
Q04,K04,來源只有10月3日，期限欄應填？,10月3日，不加時刻,10月3日17時,10月3日中午,A,chapter-1.md,日期沒有時刻就保留日期，不自行補上下午五點。
Q05,K05,同一場活動v1名額24、v2改30，應採？,54人,30人，保留更正來源,27人,B,chapter-1.md,相同資料的 v1 與 v2 是不同版本，不是兩筆可相加的觀測。
Q06,K06,來源更新後，昨天的摘要應？,視為自動更新,刪掉來源,另外核對是否需重做,C,chapter-1.md,來源更新後，既有摘要需要另行檢查；不要假設它已重新生成。
Q07,K07,回答附來源連結後，下一步是？,檢查引文是否支持主張,直接認定正確,只看連結數量,A,chapter-2.md,引用存在只證明出處可找，仍需檢查引文是否支持主張。
Q08,K08,來源沒有任何餐點資料，應標？,免費供餐,未知,一定不供餐,B,chapter-2.md,兩份資料尚無法判定哪份生效，保留衝突；沒有足夠資料則標未知。
Q09,K09,出題時加入教材沒說的規則，應？,視為加分題,讓讀者猜,剔除或補充核准來源後重出,C,chapter-2.md,題目的答案要能由指定教材支持，不能加入教材外的規則。
Q10,K10,單選題兩個選項都合理，應？,修題後再計分,任選一個當標準,全部算錯,A,chapter-2.md,若兩個選項都符合題目條件，先修題目再計分，不把疑義算成學習者答錯。
Q11,K11,想確認理解，而不只記答案，重測可加？,固定同一選項位置,一句理由並核對來源,更大字體,B,chapter-2.md,完成選擇題不等於能解釋概念，重測時加一句理由並回到來源核對。
Q12,K12,排在明天複習，現在能記已完成嗎？,可以,按預估分數記錄,不行，等實際作答後記錄,C,chapter-2.md,間隔複習表記錄實際作答日期與結果；預定日期不代表已複習。
